office_name,office_detail_url,location,Sales,Rent,Phone_Number
YURTSEVEN EMLAK,https://www.zingat.com//en/yurtseven-emlak-37092g,"Muğla, Tuzla",8,3,0 (543) 229 84 57
Enerjik Gayrimenkul,https://www.zingat.com//en/enerjik-gayrimenkul-15978g,"İstanbul, Meşrutiyet",5,3,0 (532) 377 11 79
Cityside Kemer Gayrimenkul Danışmanlık,https://www.zingat.com//en/cityside-kemer-gayrimenkul-danismanlik-16619g,"İstanbul, Göktürk Merkez",23,3,0 (532) 498 51 65
Okçu Gayrimenkul Danışmanlığı,https://www.zingat.com//en/okcu-gayrimenkul-danismanligi-69164g,"Batman, Belde",5,3,0 (532) 442 26 97
Mimar Emlak,https://www.zingat.com//en/mimar-emlak-19946g,"İstanbul, Cumhuriyet",7,3,0 (535) 383 99 83
KARACA EMLAK,https://www.zingat.com//en/karaca-emlak-istanbul-18104g,"İstanbul, Hürriyet",4,3,0 (532) 262 53 44
A+ Investments,https://www.zingat.com//en/a-investments-59772g,"İstanbul, Caddebostan",7,3,0 (532) 616 25 56
34SİLİVRİ ONUR EMLAK,https://www.zingat.com//en/34silivri-onur-emlak-47946g,"İstanbul, Alibey",6,3,0 (532) 772 23 01
Yeşilköy Emlak,https://www.zingat.com//en/yesilkoy-emlak-46604g,"İstanbul, Yeşilköy",5,3,0 (555) 969 32 37
SAİM KISA EMLAK YATIRIM DANISMANLIK,https://www.zingat.com//en/saim-kisa-emlak-yatirim-danismanlik-58651g,"Giresun, Hacısiyam",7,3,0 (545) 360 52 28
KARABİLGİN GAYRİMENKUL DANIŞMANLIĞI,https://www.zingat.com//en/karabilgin-gayrimenkul-danismanligi-4135g,"Ankara, Emek",2,3,0 (532) 525 50 61
ÖZKAN EMLAK OFİSİ,https://www.zingat.com//en/ozkan-emlak-ofisi-73158g,"Şanlıurfa, Güney",3,3,0 (553) 833 21 63
REELKON GAYRİMENKUL,https://www.zingat.com//en/reelkon-gayrimenkul-58014g,"Ankara, Kızılcaşar",3,3,0 (533) 690 37 70
COLDWELL BANKER AKADEMİ,https://www.zingat.com//en/coldwell-banker-akademi-59381g,"Kocaeli, Yahyakaptan",172,3,0 (542) 410 02 42
Müslüm Emlak,https://www.zingat.com//en/muslum-emlak-4430g,"İstanbul, Merkez",201,3,0 (532) 509 19 19
PELİNAY GAYRİMENKUL,https://www.zingat.com//en/pelinay-gayrimenkul-26768g,"Antalya, Pazarcı",15,1,0 (532) 113 54 53
SOYLU EMLAK,https://www.zingat.com//en/soylu-emlak-4-50182g,"Mersin, Viranşehir",101,1,0 (530) 775 78 78
SMART TWINS GAYRİMENKUL,https://www.zingat.com//en/smart-twins-gayrimenkul-76129g,"İzmir, Kazımdirik",11,1,0 (555) 443 33 50
VİP EMLAK TÖMÜK,https://www.zingat.com//en/vip-emlak-tomuk-53644g,"Mersin, Tömük",26,1,0 (542) 833 83 33
CD Gayrimenkul&Yatırım,https://www.zingat.com//en/cd-gayrimenkul-yatirim-2-60377g,"İzmir, Bostanlı",4,1,0 (533) 488 62 62
Seamless Properties Real Estate,https://www.zingat.com//en/seamless-properties-real-estate-2-68501g,"Antalya, Saray",3,1,0 (242) 511 82 77
INTERNATIONAL ERTA EMLAK,https://www.zingat.com//en/international-erta-emlak-34886g,"Antalya, Güller Pınarı",0,1,0 (532) 455 40 41
GÜL GAYRİMENKUL,https://www.zingat.com//en/gul-gayrimenkul-6-4642g,"İstanbul, Mevlana",5,1,0 (542) 646 97 36
